id;nom;pays;region;localite;remontees;km_pistes;bas_m;sommet_m;lat;lon;site_officiel_connu;page_tarifs_trouvee;manque;raison;photo_url;photo_legende;forfait_jour_adulte;devise;periode;source;note
at-preggrabenhohe;Preggrabenhöhe;Autriche;Styria;;2;0;908;986;47.27823;14.98207;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-raunigwiese;Raunigwiese;Autriche;Carinthia;;1;0;621;687;46.86547;13.31982;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-rieseralm;Rieseralm;Autriche;Styria;;5;8.7;1321;1606;47.09177;14.60886;https://www.rieseralm.at/;;forfait;site refusé (robots.txt ou 429);;;;;;;
at-schie-standlift-flirsch;Schießstandlift Flirsch;Autriche;Tyrol;;1;0;1158;1224;47.15101;10.40836;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-schilift-obdach;Schilift Obdach;Autriche;Styria;Obdach;1;1;897;1176;47.05870;14.68996;https://www.schilift-obdach.at/;;photo;site refusé (robots.txt ou 429);;;;;;;
at-schilifte-kleinlobming;Schilifte Kleinlobming;Autriche;Styria;;2;0.5;748;892;47.14890;14.84159;https://lobmingtal.at/freizeit-tourismus/schilifte-kleinlobming/;;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-schilifte-molln;Schilifte Molln;Autriche;Upper Austria;;2;0;439;476;47.88079;14.25613;;;photo;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-schmiedhornlift;Schmiedhornlift;Autriche;Salzburg;;1;0;801;906;47.78878;13.25156;;;forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-schneeberglifte-thiersee;Schneeberglifte Thiersee;Autriche;Tyrol;;2;1.6;794;1010;47.58238;12.09260;https://www.schneeberglifte.at/;;photo et forfait;site refusé (robots.txt ou 429);;;;;;;
at-schneiderkopflifte;Schneiderkopflifte;Autriche;Vorarlberg;;3;1.9;704;871;47.47817;9.81444;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-schonfeld-thomatal;Schönfeld - Thomatal;Autriche;Salzburg;;2;2.3;1735;2088;46.98068;13.77616;https://www.schoenfeld.co.at/ski-alpin;;forfait;site refusé (robots.txt ou 429);;;;;;;
at-semmering-hirschenkogel;Semmering Hirschenkogel;Autriche;Lower Austria;Semmering;2;7.5;990;1328;47.62602;15.83192;https://semmering.com/page/winter;https://www.semmering.com/betriebszeiten-sommer/;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-sibratsgfall;Sibratsgfäll;Autriche;Vorarlberg;;2;3;841;1030;47.41441;10.04499;https://www.kraehenberg.at;https://www.kraehenberg.at/2026/01/08/283/;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-ski-amade;Ski amadé;Autriche;Salzburg;Altenmarkt;239;598.2;667;2642;47.25079;13.38911;https://www.skiamade.com/en/winter;;photo et forfait;site injoignable (404);;;;;;;
at-ski-arlberg;Ski Arlberg;Autriche;Vorarlberg;Grechanaya Balka;0;2.8;1146;1851;47.12693;10.27914;;;photo;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-ski-juwel-oberau-wildschonau;Ski Juwel - Oberau (Wildschönau);Autriche;Tyrol;Oberau;4;0.3;928;974;47.44177;12.05356;https://www.skijuwel.com/;;photo;site refusé (robots.txt ou 429);;;;;;;
at-skiberg-mureck;Skiberg Mureck;Autriche;Styria;Mureck;1;0;235;244;46.70389;15.76950;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-skigebiet-damuls-mellau-faschina;Skigebiet Damüls-Mellau-Faschina;Autriche;Vorarlberg;Damüls;31;92.4;689;2021;47.31313;9.90124;https://www.damuels-mellau.at/;;photo et forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-skigebiet-niedere-andelsbuch-bezau;Skigebiet Niedere (Andelsbuch-Bezau);Autriche;Vorarlberg;Bezau;4;6.2;1200;1704;47.39438;9.93383;https://www.bergbahnen-andelsbuch.at/;;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-skilift-compedal;Skilift Compedal;Autriche;Tyrol;;2;1.3;1296;1651;46.79367;12.62974;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-skilift-eberschwang;Skilift Eberschwang;Autriche;Upper Austria;;2;1.8;620;742;48.14155;13.60160;https://www.ski-eberschwang.at/;https://www.ski-eberschwang.at/oeffnugszeiten-preise/;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-skilift-muhldorf;Skilift Mühldorf;Autriche;Carinthia;;1;0;615;668;46.85852;13.33122;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-skilift-zederhaus;Skilift Zederhaus;Autriche;Salzburg;;1;0.3;1239;1316;47.15887;13.48173;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-skilifte-stanzach;Skilifte Stanzach;Autriche;Tyrol;;3;0.9;940;1051;47.37696;10.56209;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-sonnenbergbahn;Sonnenbergbahn;Autriche;Tyrol;;1;0.3;1024;1102;47.09792;11.27876;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-sonnenbergbahn-470986m112803;Sonnenbergbahn;Autriche;Tyrol;;0;0;;;47.09860;11.28029;https://www.sonnenbergbahn.at;;photo et forfait;site injoignable (pas de réponse);;;;;;;
